"","year","co2","co2_per_capita"
"234",1983,18991.91,4.043
"235",1984,19647.801,4.109
"236",1985,20311.902,4.172
"237",1986,20614.963,4.158
"238",1987,21250.074,4.208
"239",1988,22085.131,4.295
"240",1989,22386.637,4.277
"241",1990,22728.988,4.266
"242",1991,23186.102,4.279
"243",1992,22528.172,4.092
"244",1993,22755.787,4.07
"245",1994,22992.947,4.051
"246",1995,23532.084,4.086
"247",1996,24258.168,4.152
"248",1997,24401.906,4.119
"249",1998,24303.777,4.046
"250",1999,24853.729,4.082
"251",2000,25510.553,4.133
"252",2001,25706.293,4.11
"253",2002,26276.869,4.146
"254",2003,27669.49,4.31
"255",2004,28632.506,4.403
"256",2005,29614.395,4.496
"257",2006,30628.396,4.591
"258",2007,31534.645,4.667
"259",2008,32074.199,4.686
"260",2009,31541.922,4.55
"261",2010,33355.902,4.75
"262",2011,34504.539,4.852
"263",2012,35000.02,4.86
"264",2013,35301.656,4.841
"265",2014,35450.094,4.802
"266",2015,35404.898,4.739
"267",2016,35416.656,4.686
"268",2017,35989.898,4.707
"269",2018,36730.426,4.752
"270",2019,37104.273,4.75
"271",2020,35126.527,4.454
"272",2021,36991.734,4.65
"273",2022,37293.836,4.649
"274",2023,37791.57,4.67
